id,name,image,detail,category_id,price,stock,status,create_time,update_time
44,Double Cheese & Ham Sandwich,http://127.0.0.1:8080/images/44.png,Treat yourself to one of our tempting yet affordable Double Cheese & Ham Sandwich.  It make for a quick and tasty meal treat.,28,1520,341,1,2023/1/1 9:00,2023/1/1 9:00
45,Donuts,http://127.0.0.1:8080/images/45.png,Treat yourself to one of our tempting yet affordable Donuts.  It make for a quick and tasty meal treat.,15,1721,455,0,2023/1/1 9:00,2023/1/1 9:00
46,Milk Cream Roll Cake,http://127.0.0.1:8080/images/46.png,Treat yourself to one of our tempting yet affordable Milk Cream Roll Cake.  It make for a quick and tasty meal treat.,48,2013,266,1,2023/1/1 9:00,2023/1/1 9:00
47,Coffee Frappuccino,http://127.0.0.1:8080/images/47.png,Treat yourself to one of our tempting yet affordable Coffee Frappuccino.  It make for a quick and tasty meal treat.,13,1845,499,0,2023/1/1 9:00,2023/1/1 9:00
48,Expresso,http://127.0.0.1:8080/images/48.png,Treat yourself to one of our tempting yet affordable Expresso.  It make for a quick and tasty meal treat.,12,2787,428,1,2023/1/1 9:00,2023/1/1 9:00
49,Coconut Cream Puff with Oreo Cookies,http://127.0.0.1:8080/images/49.png,Treat yourself to one of our tempting yet affordable Coconut Cream Puff with Oreo Cookies.  It make for a quick and tasty meal treat.,56,1175,165,1,2023/1/1 9:00,2023/1/1 9:00
50,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/50.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,91,977,206,1,2023/1/1 9:00,2023/1/1 9:00
51,Chocolate Cookies,http://127.0.0.1:8080/images/51.png,Treat yourself to one of our tempting yet affordable Chocolate Cookies.  It make for a quick and tasty meal treat.,19,1859,354,1,2023/1/1 9:00,2023/1/1 9:00
52,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/52.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,99,168,467,1,2023/1/1 9:00,2023/1/1 9:00
53,Chicken Sandwich,http://127.0.0.1:8080/images/53.png,Treat yourself to one of our tempting yet affordable Chicken Sandwich.  It make for a quick and tasty meal treat.,20,1393,497,1,2023/1/1 9:00,2023/1/1 9:00
54,Hot Teas,http://127.0.0.1:8080/images/54.png,Treat yourself to one of our tempting yet affordable Hot Teas.  It make for a quick and tasty meal treat.,24,2282,345,0,2023/1/1 9:00,2023/1/1 9:00
55,Spicy Chicken Cartilage,http://127.0.0.1:8080/images/55.png,Treat yourself to one of our tempting yet affordable Spicy Chicken Cartilage.  It make for a quick and tasty meal treat.,45,2452,348,1,2023/1/1 9:00,2023/1/1 9:00
56,"Bacon, Sausage & Egg Wrap",http://127.0.0.1:8080/images/56.png,"Treat yourself to one of our tempting yet affordable Bacon, Sausage & Egg Wrap.  It make for a quick and tasty meal treat.",45,2804,423,1,2023/1/1 9:00,2023/1/1 9:00
57,Americanos,http://127.0.0.1:8080/images/57.png,Treat yourself to one of our tempting yet affordable Americanos.  It make for a quick and tasty meal treat.,100,2705,270,1,2023/1/1 9:00,2023/1/1 9:00
58,Tiramisu cup,http://127.0.0.1:8080/images/58.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,7,295,59,0,2023/1/1 9:00,2023/1/1 9:00
59,BBQ Pork Skewer,http://127.0.0.1:8080/images/59.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,32,2039,57,1,2023/1/1 9:00,2023/1/1 9:00
60,Original Toast,http://127.0.0.1:8080/images/60.png,Treat yourself to one of our tempting yet affordable Original Toast.  It make for a quick and tasty meal treat.,25,1467,205,1,2023/1/1 9:00,2023/1/1 9:00
61,Tiramisu cup,http://127.0.0.1:8080/images/61.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,80,2477,391,1,2023/1/1 9:00,2023/1/1 9:00
62,Double Cheese & Ham Sandwich,http://127.0.0.1:8080/images/62.png,Treat yourself to one of our tempting yet affordable Double Cheese & Ham Sandwich.  It make for a quick and tasty meal treat.,84,1345,147,1,2023/1/1 9:00,2023/1/1 9:00
63,Classic Hot Dog,http://127.0.0.1:8080/images/63.png,Treat yourself to one of our tempting yet affordable Classic Hot Dog.  It make for a quick and tasty meal treat.,44,2603,353,1,2023/1/1 9:00,2023/1/1 9:00
64,Cheese Hot Dog,http://127.0.0.1:8080/images/64.png,Treat yourself to one of our tempting yet affordable Cheese Hot Dog.  It make for a quick and tasty meal treat.,33,1866,160,1,2023/1/1 9:00,2023/1/1 9:00
65,Awayuki Strawberry Mini Cream Puff,http://127.0.0.1:8080/images/65.png,Treat yourself to one of our tempting yet affordable Awayuki Strawberry Mini Cream Puff.  It make for a quick and tasty meal treat.,2,640,356,1,2023/1/1 9:00,2023/1/1 9:00
66,Lattes,http://127.0.0.1:8080/images/66.png,Treat yourself to one of our tempting yet affordable Lattes.  It make for a quick and tasty meal treat.,38,837,227,1,2023/1/1 9:00,2023/1/1 9:00
67,Cold Teas,http://127.0.0.1:8080/images/67.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,5,1702,376,1,2023/1/1 9:00,2023/1/1 9:00
68,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/68.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,78,2167,301,1,2023/1/1 9:00,2023/1/1 9:00
69,Expresso,http://127.0.0.1:8080/images/69.png,Treat yourself to one of our tempting yet affordable Expresso.  It make for a quick and tasty meal treat.,30,631,182,1,2023/1/1 9:00,2023/1/1 9:00
70,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/70.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,19,739,274,1,2023/1/1 9:00,2023/1/1 9:00
71,Reusable Silicone Food Storage Bags,http://127.0.0.1:8080/images/71.png,Treat yourself to one of our tempting yet affordable Reusable Silicone Food Storage Bags.  It make for a quick and tasty meal treat.,22,2362,457,1,2023/1/1 9:00,2023/1/1 9:00
72,Lattes,http://127.0.0.1:8080/images/72.png,Treat yourself to one of our tempting yet affordable Lattes.  It make for a quick and tasty meal treat.,14,1037,427,0,2023/1/1 9:00,2023/1/1 9:00
73,Coconut Cream Puff with Oreo Cookies,http://127.0.0.1:8080/images/73.png,Treat yourself to one of our tempting yet affordable Coconut Cream Puff with Oreo Cookies.  It make for a quick and tasty meal treat.,19,1338,347,0,2023/1/1 9:00,2023/1/1 9:00
74,BBQ Pork Skewer,http://127.0.0.1:8080/images/74.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,16,1756,418,1,2023/1/1 9:00,2023/1/1 9:00
75,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/75.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,57,1972,171,1,2023/1/1 9:00,2023/1/1 9:00
76,Americanos,http://127.0.0.1:8080/images/76.png,Treat yourself to one of our tempting yet affordable Americanos.  It make for a quick and tasty meal treat.,16,2157,427,1,2023/1/1 9:00,2023/1/1 9:00
77,"Bacon, Sausage & Egg Wrap",http://127.0.0.1:8080/images/77.png,"Treat yourself to one of our tempting yet affordable Bacon, Sausage & Egg Wrap.  It make for a quick and tasty meal treat.",61,1968,224,1,2023/1/1 9:00,2023/1/1 9:00
78,"Bacon, Sausage & Egg Wrap",http://127.0.0.1:8080/images/78.png,"Treat yourself to one of our tempting yet affordable Bacon, Sausage & Egg Wrap.  It make for a quick and tasty meal treat.",20,2486,288,1,2023/1/1 9:00,2023/1/1 9:00
79,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/79.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,57,2642,426,1,2023/1/1 9:00,2023/1/1 9:00
80,Tiramisu cup,http://127.0.0.1:8080/images/80.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,94,2916,487,0,2023/1/1 9:00,2023/1/1 9:00
81,Coconut Curry Chicken Rice,http://127.0.0.1:8080/images/81.png,Treat yourself to one of our tempting yet affordable Coconut Curry Chicken Rice.  It make for a quick and tasty meal treat.,41,2892,98,1,2023/1/1 9:00,2023/1/1 9:00
82,Cheese Hot Dog,http://127.0.0.1:8080/images/82.png,Treat yourself to one of our tempting yet affordable Cheese Hot Dog.  It make for a quick and tasty meal treat.,37,1765,406,0,2023/1/1 9:00,2023/1/1 9:00
83,Cheese Hot Dog,http://127.0.0.1:8080/images/83.png,Treat yourself to one of our tempting yet affordable Cheese Hot Dog.  It make for a quick and tasty meal treat.,98,2175,379,1,2023/1/1 9:00,2023/1/1 9:00
84,Cold Teas,http://127.0.0.1:8080/images/84.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,52,1097,144,1,2023/1/1 9:00,2023/1/1 9:00
85,Donuts,http://127.0.0.1:8080/images/85.png,Treat yourself to one of our tempting yet affordable Donuts.  It make for a quick and tasty meal treat.,44,2709,183,1,2023/1/1 9:00,2023/1/1 9:00
86,BBQ Pork Skewer,http://127.0.0.1:8080/images/86.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,95,1495,211,1,2023/1/1 9:00,2023/1/1 9:00
87,Wireless Bluetooth Earbuds,http://127.0.0.1:8080/images/87.png,Treat yourself to one of our tempting yet affordable Wireless Bluetooth Earbuds.  It make for a quick and tasty meal treat.,94,1996,484,1,2023/1/1 9:00,2023/1/1 9:00
88,Double Cheese & Ham Sandwich,http://127.0.0.1:8080/images/88.png,Treat yourself to one of our tempting yet affordable Double Cheese & Ham Sandwich.  It make for a quick and tasty meal treat.,29,858,175,1,2023/1/1 9:00,2023/1/1 9:00
89,Expresso,http://127.0.0.1:8080/images/89.png,Treat yourself to one of our tempting yet affordable Expresso.  It make for a quick and tasty meal treat.,50,892,319,1,2023/1/1 9:00,2023/1/1 9:00
90,Hot Teas,http://127.0.0.1:8080/images/90.png,Treat yourself to one of our tempting yet affordable Hot Teas.  It make for a quick and tasty meal treat.,13,1811,344,1,2023/1/1 9:00,2023/1/1 9:00
91,Donuts,http://127.0.0.1:8080/images/91.png,Treat yourself to one of our tempting yet affordable Donuts.  It make for a quick and tasty meal treat.,17,419,151,1,2023/1/1 9:00,2023/1/1 9:00
92,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/92.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,29,1937,89,1,2023/1/1 9:00,2023/1/1 9:00
93,BBQ Pork Skewer,http://127.0.0.1:8080/images/93.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,75,1088,431,0,2023/1/1 9:00,2023/1/1 9:00
94,Chocolate Cookies,http://127.0.0.1:8080/images/94.png,Treat yourself to one of our tempting yet affordable Chocolate Cookies.  It make for a quick and tasty meal treat.,48,1748,122,1,2023/1/1 9:00,2023/1/1 9:00
95,Tiramisu cup,http://127.0.0.1:8080/images/95.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,11,1476,430,1,2023/1/1 9:00,2023/1/1 9:00
96,BBQ Pork Skewer,http://127.0.0.1:8080/images/96.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,1,2397,266,1,2023/1/1 9:00,2023/1/1 9:00
97,Tiramisu cup,http://127.0.0.1:8080/images/97.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,30,1899,300,1,2023/1/1 9:00,2023/1/1 9:00
98,BBQ Pork Skewer,http://127.0.0.1:8080/images/98.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,14,1371,283,1,2023/1/1 9:00,2023/1/1 9:00
99,Reusable Silicone Food Storage Bags,http://127.0.0.1:8080/images/99.png,Treat yourself to one of our tempting yet affordable Reusable Silicone Food Storage Bags.  It make for a quick and tasty meal treat.,76,1621,310,1,2023/1/1 9:00,2023/1/1 9:00
100,Coffee Frappuccino,http://127.0.0.1:8080/images/100.png,Treat yourself to one of our tempting yet affordable Coffee Frappuccino.  It make for a quick and tasty meal treat.,19,1796,208,1,2023/1/1 9:00,2023/1/1 9:00
101,Classic Hot Dog,http://127.0.0.1:8080/images/101.png,Treat yourself to one of our tempting yet affordable Classic Hot Dog.  It make for a quick and tasty meal treat.,29,1880,76,1,2023/1/1 9:00,2023/1/1 9:00
102,Reusable Silicone Food Storage Bags,http://127.0.0.1:8080/images/102.png,Treat yourself to one of our tempting yet affordable Reusable Silicone Food Storage Bags.  It make for a quick and tasty meal treat.,23,1225,401,1,2023/1/1 9:00,2023/1/1 9:00
103,Basque Cheese Cake,http://127.0.0.1:8080/images/103.png,Treat yourself to one of our tempting yet affordable Basque Cheese Cake.  It make for a quick and tasty meal treat.,96,1164,221,1,2023/1/1 9:00,2023/1/1 9:00
104,Creamy Carbonara Spaghetti,http://127.0.0.1:8080/images/104.png,Treat yourself to one of our tempting yet affordable Creamy Carbonara Spaghetti.  It make for a quick and tasty meal treat.,50,445,477,1,2023/1/1 9:00,2023/1/1 9:00
105,Spaghetti with Meat Sauce,http://127.0.0.1:8080/images/105.png,Treat yourself to one of our tempting yet affordable Spaghetti with Meat Sauce.  It make for a quick and tasty meal treat.,75,1404,327,0,2023/1/1 9:00,2023/1/1 9:00
106,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/106.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,16,2338,415,1,2023/1/1 9:00,2023/1/1 9:00
107,BBQ Pork Skewer,http://127.0.0.1:8080/images/107.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,86,858,125,1,2023/1/1 9:00,2023/1/1 9:00
108,Wireless Bluetooth Earbuds,http://127.0.0.1:8080/images/108.png,Treat yourself to one of our tempting yet affordable Wireless Bluetooth Earbuds.  It make for a quick and tasty meal treat.,47,1515,472,1,2023/1/1 9:00,2023/1/1 9:00
109,Spicy Chicken Cartilage,http://127.0.0.1:8080/images/109.png,Treat yourself to one of our tempting yet affordable Spicy Chicken Cartilage.  It make for a quick and tasty meal treat.,50,2930,423,0,2023/1/1 9:00,2023/1/1 9:00
110,Basque Cheese Cake,http://127.0.0.1:8080/images/110.png,Treat yourself to one of our tempting yet affordable Basque Cheese Cake.  It make for a quick and tasty meal treat.,38,1905,293,1,2023/1/1 9:00,2023/1/1 9:00
111,Expresso,http://127.0.0.1:8080/images/111.png,Treat yourself to one of our tempting yet affordable Expresso.  It make for a quick and tasty meal treat.,43,301,195,0,2023/1/1 9:00,2023/1/1 9:00
112,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/112.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,29,2253,79,1,2023/1/1 9:00,2023/1/1 9:00
113,Portable External Phone Charger,http://127.0.0.1:8080/images/113.png,Treat yourself to one of our tempting yet affordable Portable External Phone Charger.  It make for a quick and tasty meal treat.,9,2487,317,1,2023/1/1 9:00,2023/1/1 9:00
114,Cold Teas,http://127.0.0.1:8080/images/114.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,15,519,189,1,2023/1/1 9:00,2023/1/1 9:00
115,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/115.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,23,1217,57,1,2023/1/1 9:00,2023/1/1 9:00
116,Hot Teas,http://127.0.0.1:8080/images/116.png,Treat yourself to one of our tempting yet affordable Hot Teas.  It make for a quick and tasty meal treat.,77,1951,394,1,2023/1/1 9:00,2023/1/1 9:00
117,Donuts,http://127.0.0.1:8080/images/117.png,Treat yourself to one of our tempting yet affordable Donuts.  It make for a quick and tasty meal treat.,5,1961,394,1,2023/1/1 9:00,2023/1/1 9:00
118,Lattes,http://127.0.0.1:8080/images/118.png,Treat yourself to one of our tempting yet affordable Lattes.  It make for a quick and tasty meal treat.,91,1171,134,1,2023/1/1 9:00,2023/1/1 9:00
119,Spicy Chicken Cartilage,http://127.0.0.1:8080/images/119.png,Treat yourself to one of our tempting yet affordable Spicy Chicken Cartilage.  It make for a quick and tasty meal treat.,74,932,302,0,2023/1/1 9:00,2023/1/1 9:00
120,Chicken Sandwich,http://127.0.0.1:8080/images/120.png,Treat yourself to one of our tempting yet affordable Chicken Sandwich.  It make for a quick and tasty meal treat.,38,269,435,1,2023/1/1 9:00,2023/1/1 9:00
121,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/121.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,31,770,58,1,2023/1/1 9:00,2023/1/1 9:00
122,Spicy Chicken Cartilage,http://127.0.0.1:8080/images/122.png,Treat yourself to one of our tempting yet affordable Spicy Chicken Cartilage.  It make for a quick and tasty meal treat.,90,2333,359,0,2023/1/1 9:00,2023/1/1 9:00
123,Chicken Sandwich,http://127.0.0.1:8080/images/123.png,Treat yourself to one of our tempting yet affordable Chicken Sandwich.  It make for a quick and tasty meal treat.,23,140,303,1,2023/1/1 9:00,2023/1/1 9:00
124,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/124.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,30,781,63,1,2023/1/1 9:00,2023/1/1 9:00
125,Creamy Carbonara Spaghetti,http://127.0.0.1:8080/images/125.png,Treat yourself to one of our tempting yet affordable Creamy Carbonara Spaghetti.  It make for a quick and tasty meal treat.,22,2691,260,1,2023/1/1 9:00,2023/1/1 9:00
